rank,handle,name,platform,already_in_db,tweets_fetched,prefilter_survivors,raw_predictions,xnative_survivors,youtube_survivors,yield_net,tweets_per_week,est_predictions_per_week,crypto_share,span_days,oldest,newest
1,EchoAnalysis,Echo Analysis,x,yes,40,27,20,19,16,0.475,280.0,133.0,0.05,1,2026-06-07,2026-06-09
2,KirasEpicTrades,Kira Barr,x,yes,40,19,18,18,8,0.45,16.5,7.41,0.0,17,2026-05-23,2026-06-09
3,Teamsniperpaji,Sniper paji,x,yes,40,28,18,16,17,0.4,7.8,3.11,1.0,36,2026-05-03,2026-06-09
4,YousufTrades,Yousuf 💎,x,yes,40,20,10,10,5,0.25,3.6,0.91,0.1,77,2026-02-23,2026-05-11
5,dividend_data,Dividend Data,youtube,no,40,30,10,10,10,0.25,1.2,0.29,0.0,241,2025-09-15,2026-05-15
6,CelalKucuker,Celal Kucuker,x,yes,40,12,9,8,3,0.2,46.7,9.33,0.78,6,2026-06-03,2026-06-09
7,wickedstocks,Wicked Stocks,x,yes,40,14,8,8,8,0.2,12.7,2.55,0.0,22,2026-05-18,2026-06-09
8,AIStockSavvy,Hardik Shah,x,yes,40,23,8,8,2,0.2,,,0.12,0,2026-06-09,2026-06-09
9,kylewhitegoat,stock goat,x,yes,40,24,8,7,8,0.175,25.5,4.45,0.0,11,2026-05-29,2026-06-09
10,Learnernoearner,UNKNOWN TRADER,x,yes,40,12,6,6,0,0.15,280.0,42.0,1.0,1,2026-06-08,2026-06-09
11,QualCompounders,Quality Compounders,x,yes,40,14,6,6,6,0.15,140.0,21.0,0.0,2,2026-06-06,2026-06-09
12,Han_Akamatsu,Han Akamatsu 赤松,x,yes,40,13,6,6,4,0.15,70.0,10.5,0.0,4,2026-06-05,2026-06-09
13,TheValueTrade,The Value Trader,x,yes,40,21,7,6,7,0.15,,,0.0,0,2026-06-09,2026-06-09
14,PaperBozz,Paper Bozz,x,yes,40,13,5,5,2,0.125,46.7,5.83,0.0,6,2026-06-03,2026-06-09
15,MarketMatrixs,The Market Matrix,x,yes,40,18,4,4,3,0.1,280.0,28.0,0.0,1,2026-06-08,2026-06-09
16,EhrmantrautCap_,Ehrmantraut Capital,x,yes,40,14,4,4,3,0.1,70.0,7.0,0.0,4,2026-06-05,2026-06-09
17,endless_frank,Endless Capit🅰️l,x,yes,40,12,4,4,3,0.1,70.0,7.0,0.0,4,2026-06-05,2026-06-09
18,AsafNaamani,Asaf Naamani,x,yes,40,21,4,4,4,0.1,56.0,5.6,0.0,5,2026-06-04,2026-06-09
19,steady_profits,James Woolley,x,yes,40,25,4,4,2,0.1,40.0,4.0,0.0,7,2026-06-01,2026-06-09
20,CAGThe3rd,Carlos Garcia Tapia,x,yes,40,10,4,4,3,0.1,40.0,4.0,0.5,7,2026-06-02,2026-06-09
21,yianisz,Yiannis Zourmpanos,x,yes,40,20,4,4,2,0.1,40.0,4.0,0.0,7,2026-06-02,2026-06-09
22,massivemoats,Massive Moats,x,yes,40,16,4,4,0,0.1,2.8,0.28,0.0,101,2026-02-17,2026-05-30
23,wallstengine,Wall St Engine,x,yes,40,21,3,3,2,0.075,280.0,21.0,0.0,1,2026-06-07,2026-06-09
24,HeartRateTrader,Heart Rate Trader,x,yes,40,6,3,3,0,0.075,280.0,21.0,0.0,1,2026-06-08,2026-06-09
25,RoccobullboTTom,TOP GAINER TODAY,x,yes,40,17,4,3,1,0.075,28.0,2.1,0.5,10,2026-05-29,2026-06-08
26,DanBTC916,Dan ⚡️,x,yes,40,16,3,3,3,0.075,5.4,0.4,0.0,52,2026-04-17,2026-06-08
27,TheSwingTraderr,The Swing Trader,x,yes,40,28,3,3,3,0.075,3.7,0.28,0.0,75,2026-03-25,2026-06-09
28,FASTGraphs,Fast Graphs,youtube,no,40,26,3,3,3,0.075,3.0,0.22,0.0,94,2026-03-06,2026-06-08
29,CryptoPatel,Crypto Patel,x,yes,40,28,2,2,0,0.05,140.0,7.0,1.0,2,2026-06-07,2026-06-09
30,matthughes13,The Great Mattsby,x,yes,40,10,2,2,2,0.05,93.3,4.67,0.0,3,2026-06-06,2026-06-09
31,GhostxSwings,Ghost X Swings,x,yes,40,15,2,2,1,0.05,70.0,3.5,0.0,4,2026-06-04,2026-06-09
32,BestTrader01,ALGO DADDY,x,yes,40,12,2,2,0,0.05,70.0,3.5,0.0,4,2026-06-05,2026-06-09
33,itschrisray,Chris Ray,x,yes,40,7,2,2,2,0.05,56.0,2.8,0.0,5,2026-06-04,2026-06-09
34,Tickerwire,Ticker Wire,x,yes,40,14,2,2,2,0.05,56.0,2.8,0.0,5,2026-06-04,2026-06-09
35,WallStSai,S A I ™️,x,yes,40,18,2,2,1,0.05,23.3,1.17,0.0,12,2026-05-27,2026-06-09
36,nrossolillo,Chip Stock Investor,youtube,no,40,4,2,2,1,0.05,18.7,0.93,0.0,15,2026-05-25,2026-06-09
37,etienne_breton,Etienne Breton,x,yes,40,9,2,2,2,0.05,8.0,0.4,0.0,35,2026-05-04,2026-06-09
38,MarketBeatCom,MarketBeat,youtube,no,40,6,2,2,2,0.05,6.8,0.34,0.0,41,2026-04-27,2026-06-08
39,WhiteMillions,Tristan Cornely 𓄀,x,yes,40,10,2,2,2,0.05,5.0,0.25,0.0,56,2026-04-14,2026-06-09
40,HolySmokas,Financial Education,youtube,no,40,10,2,2,1,0.05,0.4,0.02,0.0,644,2024-09-02,2026-06-09
41,The_RockTrading,The Rock Trading Group,x,yes,40,3,2,2,0,0.05,,,0.0,0,2026-06-09,2026-06-09
42,SpaceInvestor_D,Space Investor,x,yes,40,14,1,1,1,0.025,280.0,7.0,0.0,1,2026-06-08,2026-06-09
43,NotA_Bull,Evan | Investments,x,yes,40,7,1,1,1,0.025,140.0,3.5,0.0,2,2026-06-07,2026-06-09
44,imnotharsh,ImNotHarsh | 📈💸,x,yes,40,6,1,1,1,0.025,140.0,3.5,0.0,2,2026-06-06,2026-06-09
45,Notofworks7,Christ the Solid Rock I Stand,x,yes,40,5,1,1,1,0.025,140.0,3.5,1.0,2,2026-06-07,2026-06-09
46,CKCapitalxx,CK Capital,x,yes,40,16,1,1,0,0.025,140.0,3.5,0.0,2,2026-06-07,2026-06-09
47,TechCharts,"Aksel Kibar, CMT",x,yes,40,7,1,1,0,0.025,93.3,2.33,0.0,3,2026-06-06,2026-06-09
48,StrategyMaxi,100% Strategy,x,yes,40,19,1,1,1,0.025,70.0,1.75,0.0,4,2026-06-05,2026-06-09
49,TheBTCKnight,⚔️The ₿itcoin Knight⚔️,x,yes,40,11,1,1,1,0.025,70.0,1.75,0.0,4,2026-06-05,2026-06-09
50,RevShark,James DePorre,x,yes,40,3,1,1,1,0.025,46.7,1.17,0.0,6,2026-06-03,2026-06-09
51,GroupPow,POW Group,x,yes,40,8,1,1,1,0.025,40.0,1.0,0.0,7,2026-06-01,2026-06-09
52,zoptionstrading,Spencer (ZTRADEZ),x,yes,40,11,1,1,1,0.025,25.5,0.64,0.0,11,2026-05-29,2026-06-09
53,nachunja,Cute Baby,x,yes,40,11,1,1,1,0.025,14.7,0.37,0.0,19,2026-05-20,2026-06-09
54,thekriskay,Kris Kay | 🎲 444 Capital,x,yes,40,7,1,1,1,0.025,14.0,0.35,0.0,20,2026-05-20,2026-06-09
55,DeFiDecoder_,DeFi Decoder,x,yes,40,7,1,1,0,0.025,14.0,0.35,1.0,20,2026-05-20,2026-06-09
56,MCmastersCrypto,MCmasters 🐸,x,yes,40,4,1,1,0,0.025,14.0,0.35,0.0,20,2026-05-20,2026-06-09
57,Evilisrising,Joe MM,x,yes,40,16,1,1,1,0.025,12.7,0.32,0.0,22,2026-05-18,2026-06-09
58,Hustlepedia,Jonny 👾,x,yes,40,6,1,1,0,0.025,12.7,0.32,0.0,22,2026-05-18,2026-06-09
59,bkaellner,Stock Compounder,youtube,no,40,4,1,1,1,0.025,11.2,0.28,0.0,25,2026-05-14,2026-06-09
60,AuditTheHerd,Audit The Herd,x,yes,40,18,1,1,1,0.025,9.3,0.23,0.0,30,2026-05-10,2026-06-09
61,PronkDaniel,Daniel Pronk,youtube,no,40,16,1,1,0,0.025,7.8,0.19,0.0,36,2026-05-03,2026-06-09
62,TickerSymbolYOU,Ticker Symbol YOU,youtube,no,40,7,1,1,1,0.025,2.8,0.07,0.0,99,2026-02-25,2026-06-04
63,UnrivaledInvest,Unrivaled Investing,youtube,no,40,9,1,1,1,0.025,1.6,0.04,0.0,176,2025-12-09,2026-06-04
64,sashayanshin,Sasha Yanshin,youtube,no,40,16,1,1,1,0.025,1.0,0.03,0.0,271,2025-08-07,2026-05-05
65,fexir1,FEXIR | CRYPTO ♟️🎯,x,yes,40,7,1,1,1,0.025,,,1.0,0,2026-06-09,2026-06-09
66,Reformed_Trader,Reformed Tr🅰️der,x,yes,40,7,1,1,0,0.025,,,0.0,0,2026-06-09,2026-06-09
67,AlesWorldStocks,Ales World of Stocks,youtube,no,10,0,0,0,0,0.0,0.5,0.0,0.0,152,2018-12-01,2019-05-02
68,StockMarketJ,Let's Talk Money,youtube,no,40,9,0,0,0,0.0,0.2,0.0,0.0,1364,2021-03-26,2024-12-19
69,realMeetKevin,Meet Kevin,youtube,no,40,7,0,0,0,0.0,3.8,0.0,0.0,74,2026-03-22,2026-06-05
70,TMFParkev,Parkev Tatevosian CFA,youtube,no,40,7,0,0,0,0.0,0.4,0.0,0.0,761,2022-09-18,2024-10-18
71,dividendology,Dividendology,youtube,no,40,9,0,0,0,0.0,46.7,0.0,0.0,6,2026-06-02,2026-06-09
72,joecarlsonshow,Joseph Carlson,youtube,no,40,9,0,0,0,0.0,8.2,0.0,0.0,34,2026-05-05,2026-06-09
